metric,status,reason,impact,source_artifact,source_pointer,evidence_layer,dry_run_only
cluster_build.cluster_create.primary_cluster_create_seconds,MISSING,30-node historical evidence predates P13 timing breakdown,cluster_build coverage for 30 is incomplete and must not be inferred from reports or default values.,artifacts/loop_engineering/reports/scale_build_metrics.json,$.canonical_rungs.0.metric_records.6,30,false
cluster_build.cluster_create.replica_meet_seconds,MISSING,30-node historical evidence predates P13 timing breakdown,cluster_build coverage for 30 is incomplete and must not be inferred from reports or default values.,artifacts/loop_engineering/reports/scale_build_metrics.json,$.canonical_rungs.0.metric_records.7,30,false
cluster_build.process_startup.nodehost_start_seconds,MISSING,30-node historical evidence predates P13 timing breakdown,cluster_build coverage for 30 is incomplete and must not be inferred from reports or default values.,artifacts/loop_engineering/reports/scale_build_metrics.json,$.canonical_rungs.0.metric_records.2,30,false
cluster_build.process_startup.process_config_prepare_seconds,MISSING,30-node historical evidence predates P13 timing breakdown,cluster_build coverage for 30 is incomplete and must not be inferred from reports or default values.,artifacts/loop_engineering/reports/scale_build_metrics.json,$.canonical_rungs.0.metric_records.3,30,false
cluster_build.process_startup.process_ready_wait_seconds,MISSING,30-node historical evidence predates P13 timing breakdown,cluster_build coverage for 30 is incomplete and must not be inferred from reports or default values.,artifacts/loop_engineering/reports/scale_build_metrics.json,$.canonical_rungs.0.metric_records.5,30,false
cluster_build.process_startup.process_start_seconds,MISSING,30-node historical evidence predates P13 timing breakdown,cluster_build coverage for 30 is incomplete and must not be inferred from reports or default values.,artifacts/loop_engineering/reports/scale_build_metrics.json,$.canonical_rungs.0.metric_records.4,30,false
cluster_build.role_convergence.replica_replicate_seconds,MISSING,30-node historical evidence predates P13 timing breakdown,cluster_build coverage for 30 is incomplete and must not be inferred from reports or default values.,artifacts/loop_engineering/reports/scale_build_metrics.json,$.canonical_rungs.0.metric_records.8,30,false
cluster_build.runtime.cluster_create_duration_seconds,MISSING,30-node historical evidence predates runtime_timing_breakdown artifact,cluster_build coverage for 30 is incomplete and must not be inferred from reports or default values.,artifacts/loop_engineering/reports/scale_build_metrics.json,$.canonical_rungs.0.metric_records.27,30,false
cluster_build.setup_timeline.setup_command_wall_seconds,MISSING,30-node historical evidence predates setup_timeline artifact,cluster_build coverage for 30 is incomplete and must not be inferred from reports or default values.,artifacts/loop_engineering/reports/scale_build_metrics.json,$.canonical_rungs.0.metric_records.25,30,false
cluster_build.setup_timeline.total_seconds,MISSING,30-node historical evidence predates setup_timeline artifact,cluster_build coverage for 30 is incomplete and must not be inferred from reports or default values.,artifacts/loop_engineering/reports/scale_build_metrics.json,$.canonical_rungs.0.metric_records.26,30,false
failover.split_brain_duration_ms,MISSING,primary_stop_gate_did_not_observe_conflicting_primaries,failover coverage for small-real is incomplete and must not be inferred from reports or default values.,artifacts/phases/P08_FAILOVER_SPLIT_BRAIN/failover_report.json,$.summary.split_brain_duration_ms,small-real,false
fault_failover_scale.failover.split_brain_duration_ms,MISSING,primary_stop_gate_did_not_observe_conflicting_primaries,failover coverage for 100 is incomplete and must not be inferred from reports or default values.,artifacts/loop_engineering/reports/fault_failover_scale.json,$.canonical_rungs.2.metric_records.20,100,false
fault_failover_scale.failover.split_brain_duration_ms,MISSING,primary_stop_gate_did_not_observe_conflicting_primaries,failover coverage for 30 is incomplete and must not be inferred from reports or default values.,artifacts/loop_engineering/reports/fault_failover_scale.json,$.canonical_rungs.0.metric_records.20,30,false
fault_failover_scale.failover.split_brain_duration_ms,MISSING,primary_stop_gate_did_not_observe_conflicting_primaries,failover coverage for 50 is incomplete and must not be inferred from reports or default values.,artifacts/loop_engineering/reports/fault_failover_scale.json,$.canonical_rungs.1.metric_records.20,50,false
report_visualization.analysis.split_brain_duration_ms,MISSING,primary_stop_gate_did_not_observe_conflicting_primaries,report_visualization coverage for small-real is incomplete and must not be inferred from reports or default values.,artifacts/phases/P09_ANALYSIS_REPORTING/analysis_summary.json,$.metrics.2,small-real,false
stability.baseline.error_count,NO_BASELINE_YET,No previous stability baseline artifact exists.,Trend and regression comparison for stability on small-real cannot be evaluated until a prior baseline artifact exists.,artifacts/phases/P11_STABILITY_SOAK/stability_report.json,$.summary.baseline.comparisons.0,small-real,false
stability.baseline.max_memory_growth_bytes,NO_BASELINE_YET,No previous stability baseline artifact exists.,Trend and regression comparison for stability on small-real cannot be evaluated until a prior baseline artifact exists.,artifacts/phases/P11_STABILITY_SOAK/stability_report.json,$.summary.baseline.comparisons.1,small-real,false
stability_soak.baseline.error_count,NO_BASELINE_YET,No previous stability baseline artifact exists.,Trend and regression comparison for stability on small-real cannot be evaluated until a prior baseline artifact exists.,artifacts/phases/P11_STABILITY_SOAK/stability_report.json,$.summary.baseline.comparisons.0,small-real,false
stability_soak.baseline.max_memory_growth_bytes,NO_BASELINE_YET,No previous stability baseline artifact exists.,Trend and regression comparison for stability on small-real cannot be evaluated until a prior baseline artifact exists.,artifacts/phases/P11_STABILITY_SOAK/stability_report.json,$.summary.baseline.comparisons.1,small-real,false
